dataset: CLL_SUB | 3 classes | 11340 features | deivce: cpu
epoch 161 | train ACC 33.3333 % | test ACC 43.3333 % | train loss 0.0082
epoch 171 | train ACC 52.381 % | test ACC 47.7778 % | train loss 0.0081
epoch 181 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.008
epoch 191 | train ACC 42.8571 % | test ACC 46.6667 % | train loss 0.0091
8layers, Final test  ACC: 53.3333 %
Layer 1, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.389, Rec:0.4595
Layer 2, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.4635, Rec:0.4595
Layer 3, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.7337, Rec:0.4595
Layer 4, Acc:0.5555555820465088, F:0.4095, Pr:0.5586, Auc:0.7531, Rec:0.5586
Layer 5, Acc:0.5444444417953491, F:0.3894, Pr:0.5405, Auc:0.7087, Rec:0.5405
Layer 6, Acc:0.5333333611488342, F:0.3794, Pr:0.5225, Auc:0.7267, Rec:0.5225
Layer 7, Acc:0.5333333611488342, F:0.3794, Pr:0.5225, Auc:0.7583, Rec:0.5225
Layer 8, Acc:0.5333333611488342, F:0.3794, Pr:0.5225, Auc:0.7684, Rec:0.5225
Layer 4, max_Acc:55.555558, F:0.4095, Pr:0.5586, Auc:0.7531, Rec:0.5586
hd:8, dp:0.7, wd:0.005, layer 1 
epoch 1 | train ACC 23.8095 % | test ACC 35.5556 % | train loss 0.0102
epoch 11 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 21 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 31 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 41 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 51 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 61 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 71 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 91 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 101 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 111 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 121 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 131 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 141 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 151 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 161 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 171 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 181 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 191 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
1layers, Final test  ACC: 45.5556 %
hd:8, dp:0.7, wd:0.005, layer 2 
epoch 1 | train ACC 47.619 % | test ACC 34.4444 % | train loss 0.0106
epoch 11 | train ACC 42.8571 % | test ACC 45.5556 % | train loss 0.0099
epoch 21 | train ACC 52.381 % | test ACC 60.0 % | train loss 0.0099
epoch 31 | train ACC 42.8571 % | test ACC 47.7778 % | train loss 0.0099
epoch 41 | train ACC 38.0952 % | test ACC 38.8889 % | train loss 0.01
epoch 51 | train ACC 52.381 % | test ACC 44.4444 % | train loss 0.0099
epoch 61 | train ACC 42.8571 % | test ACC 51.1111 % | train loss 0.0097
epoch 71 | train ACC 47.619 % | test ACC 43.3333 % | train loss 0.0097
epoch 81 | train ACC 47.619 % | test ACC 46.6667 % | train loss 0.01
epoch 91 | train ACC 57.1429 % | test ACC 54.4444 % | train loss 0.0098
epoch 101 | train ACC 38.0952 % | test ACC 47.7778 % | train loss 0.0096
epoch 111 | train ACC 61.9048 % | test ACC 44.4444 % | train loss 0.0096
epoch 121 | train ACC 47.619 % | test ACC 40.0 % | train loss 0.0097
epoch 131 | train ACC 42.8571 % | test ACC 47.7778 % | train loss 0.0097
epoch 141 | train ACC 47.6191 % | test ACC 50.0 % | train loss 0.0098
epoch 151 | train ACC 61.9048 % | test ACC 47.7778 % | train loss 0.0095
epoch 161 | train ACC 47.619 % | test ACC 43.3333 % | train loss 0.0094
epoch 171 | train ACC 38.0952 % | test ACC 46.6667 % | train loss 0.0098
epoch 181 | train ACC 66.6667 % | test ACC 47.7778 % | train loss 0.0096
epoch 191 | train ACC 52.381 % | test ACC 46.6667 % | train loss 0.0093
2layers, Final test  ACC: 45.5556 %
hd:8, dp:0.7, wd:0.005, layer 3 
epoch 1 | train ACC 28.5714 % | test ACC 32.2222 % | train loss 0.0106
epoch 11 | train ACC 42.8571 % | test ACC 48.8889 % | train loss 0.0099
epoch 21 | train ACC 52.381 % | test ACC 38.8889 % | train loss 0.0099
epoch 31 | train ACC 47.619 % | test ACC 50.0 % | train loss 0.0098
epoch 41 | train ACC 47.619 % | test ACC 47.7778 % | train loss 0.0097
epoch 51 | train ACC 23.8095 % | test ACC 45.5556 % | train loss 0.0098
epoch 61 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0092
epoch 71 | train ACC 42.8571 % | test ACC 46.6667 % | train loss 0.0091
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0096
epoch 91 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0091
epoch 101 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.009
epoch 111 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0091
epoch 121 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.009
epoch 131 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0094
epoch 141 | train ACC 52.381 % | test ACC 46.6667 % | train loss 0.0092
epoch 151 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0092
epoch 161 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0094
epoch 171 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0091
epoch 181 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0091
epoch 191 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0092
3layers, Final test  ACC: 45.5556 %
hd:8, dp:0.7, wd:0.005, layer 4 
epoch 1 | train ACC 42.8571 % | test ACC 36.6667 % | train loss 0.0106
epoch 11 | train ACC 38.0952 % | test ACC 45.5556 % | train loss 0.01
epoch 21 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.0099
epoch 31 | train ACC 47.619 % | test ACC 41.1111 % | train loss 0.0099
epoch 41 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0098
epoch 51 | train ACC 42.8571 % | test ACC 38.8889 % | train loss 0.0098
epoch 61 | train ACC 52.381 % | test ACC 41.1111 % | train loss 0.0097
epoch 71 | train ACC 47.619 % | test ACC 43.3333 % | train loss 0.0097
epoch 81 | train ACC 42.8571 % | test ACC 43.3333 % | train loss 0.01
epoch 91 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0096
epoch 101 | train ACC 52.381 % | test ACC 53.3333 % | train loss 0.0099
epoch 111 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0102
epoch 121 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0102
epoch 131 | train ACC 47.619 % | test ACC 41.1111 % | train loss 0.01
epoch 141 | train ACC 47.619 % | test ACC 50.0 % | train loss 0.0098
epoch 151 | train ACC 33.3333 % | test ACC 41.1111 % | train loss 0.0099
epoch 161 | train ACC 42.8571 % | test ACC 40.0 % | train loss 0.0098
epoch 171 | train ACC 52.381 % | test ACC 46.6667 % | train loss 0.0096
epoch 181 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.0101
epoch 191 | train ACC 47.619 % | test ACC 42.2222 % | train loss 0.0094
4layers, Final test  ACC: 44.4444 %
hd:8, dp:0.7, wd:0.005, layer 5 
epoch 1 | train ACC 23.8095 % | test ACC 18.8889 % | train loss 0.0106
epoch 11 | train ACC 33.3333 % | test ACC 27.7778 % | train loss 0.01
epoch 21 | train ACC 57.1429 % | test ACC 42.2222 % | train loss 0.0099
epoch 31 | train ACC 33.3333 % | test ACC 37.7778 % | train loss 0.0099
epoch 41 | train ACC 47.619 % | test ACC 43.3333 % | train loss 0.0099
epoch 51 | train ACC 57.1429 % | test ACC 42.2222 % | train loss 0.0097
epoch 61 | train ACC 33.3333 % | test ACC 53.3333 % | train loss 0.0094
epoch 71 | train ACC 52.381 % | test ACC 45.5556 % | train loss 0.0092
epoch 81 | train ACC 52.381 % | test ACC 50.0 % | train loss 0.0091
epoch 91 | train ACC 57.1429 % | test ACC 45.5556 % | train loss 0.0087
epoch 101 | train ACC 61.9048 % | test ACC 45.5556 % | train loss 0.0086
epoch 111 | train ACC 66.6667 % | test ACC 44.4444 % | train loss 0.0083
epoch 121 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0085
epoch 131 | train ACC 52.381 % | test ACC 50.0 % | train loss 0.0082
epoch 141 | train ACC 47.619 % | test ACC 46.6667 % | train loss 0.0088
epoch 151 | train ACC 38.0952 % | test ACC 42.2222 % | train loss 0.009
epoch 161 | train ACC 42.8571 % | test ACC 43.3333 % | train loss 0.0091
epoch 171 | train ACC 38.0952 % | test ACC 47.7778 % | train loss 0.0099
epoch 181 | train ACC 52.381 % | test ACC 45.5556 % | train loss 0.0088
epoch 191 | train ACC 47.619 % | test ACC 43.3333 % | train loss 0.0091
5layers, Final test  ACC: 53.3333 %
hd:8, dp:0.7, wd:0.005, layer 6 
epoch 1 | train ACC 14.2857 % | test ACC 13.3333 % | train loss 0.0106
epoch 11 | train ACC 23.8095 % | test ACC 15.5556 % | train loss 0.01
epoch 21 | train ACC 47.619 % | test ACC 30.0 % | train loss 0.0099
epoch 31 | train ACC 38.0952 % | test ACC 30.0 % | train loss 0.0099
epoch 41 | train ACC 33.3333 % | test ACC 48.8889 % | train loss 0.0099
epoch 51 | train ACC 38.0952 % | test ACC 45.5556 % | train loss 0.0099
epoch 61 | train ACC 33.3333 % | test ACC 40.0 % | train loss 0.0099
epoch 71 | train ACC 42.8571 % | test ACC 48.8889 % | train loss 0.0092
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 91 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 101 | train ACC 47.619 % | test ACC 46.6667 % | train loss 0.0095
epoch 111 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0102
epoch 121 | train ACC 52.381 % | test ACC 53.3333 % | train loss 0.0099
epoch 131 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0098
epoch 141 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0093
epoch 151 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0095
epoch 161 | train ACC 42.8571 % | test ACC 48.8889 % | train loss 0.0099
epoch 171 | train ACC 38.0952 % | test ACC 44.4444 % | train loss 0.0098
epoch 181 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0091
epoch 191 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0094
6layers, Final test  ACC: 53.3333 %
hd:8, dp:0.7, wd:0.005, layer 7 
epoch 1 | train ACC 57.1429 % | test ACC 44.4444 % | train loss 0.0106
epoch 11 | train ACC 42.8571 % | test ACC 45.5556 % | train loss 0.01
epoch 21 | train ACC 66.6667 % | test ACC 36.6667 % | train loss 0.0096
epoch 31 | train ACC 42.8571 % | test ACC 43.3333 % | train loss 0.0096
epoch 41 | train ACC 42.8571 % | test ACC 48.8889 % | train loss 0.0093
epoch 51 | train ACC 28.5714 % | test ACC 51.1111 % | train loss 0.0094
epoch 61 | train ACC 38.0952 % | test ACC 45.5556 % | train loss 0.009
epoch 71 | train ACC 33.3333 % | test ACC 47.7778 % | train loss 0.0093
epoch 81 | train ACC 33.3333 % | test ACC 47.7778 % | train loss 0.0087
epoch 91 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0084
epoch 101 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0087
epoch 111 | train ACC 38.0952 % | test ACC 42.2222 % | train loss 0.009
epoch 121 | train ACC 47.619 % | test ACC 51.1111 % | train loss 0.0078
epoch 131 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0087
epoch 141 | train ACC 57.1429 % | test ACC 40.0 % | train loss 0.0084
epoch 151 | train ACC 23.8095 % | test ACC 47.7778 % | train loss 0.0091
epoch 161 | train ACC 42.8571 % | test ACC 46.6667 % | train loss 0.009
epoch 171 | train ACC 47.619 % | test ACC 46.6667 % | train loss 0.0089
epoch 181 | train ACC 47.619 % | test ACC 40.0 % | train loss 0.0095
epoch 191 | train ACC 52.381 % | test ACC 38.8889 % | train loss 0.0098
7layers, Final test  ACC: 53.3333 %
hd:8, dp:0.7, wd:0.005, layer 8 
epoch 1 | train ACC 47.619 % | test ACC 32.2222 % | train loss 0.0106
epoch 11 | train ACC 42.8571 % | test ACC 40.0 % | train loss 0.01
epoch 21 | train ACC 38.0952 % | test ACC 45.5556 % | train loss 0.0099
epoch 31 | train ACC 42.8571 % | test ACC 48.8889 % | train loss 0.0093
epoch 41 | train ACC 52.381 % | test ACC 43.3333 % | train loss 0.0095
epoch 51 | train ACC 42.8571 % | test ACC 45.5556 % | train loss 0.0091
epoch 61 | train ACC 47.619 % | test ACC 50.0 % | train loss 0.0085
epoch 71 | train ACC 38.0952 % | test ACC 48.8889 % | train loss 0.0096
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0087
epoch 91 | train ACC 42.8571 % | test ACC 42.2222 % | train loss 0.0095
epoch 101 | train ACC 42.8571 % | test ACC 50.0 % | train loss 0.0105
epoch 111 | train ACC 52.381 % | test ACC 54.4444 % | train loss 0.0094
epoch 121 | train ACC 52.381 % | test ACC 42.2222 % | train loss 0.0085
epoch 131 | train ACC 38.0952 % | test ACC 44.4444 % | train loss 0.0088
epoch 141 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0091
epoch 151 | train ACC 52.381 % | test ACC 55.5556 % | train loss 0.0091
epoch 161 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0083
epoch 171 | train ACC 47.619 % | test ACC 53.3333 % | train loss 0.0087
epoch 181 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0087
epoch 191 | train ACC 28.5714 % | test ACC 43.3333 % | train loss 0.0088
8layers, Final test  ACC: 45.5556 %
Layer 1, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.3454, Rec:0.4595
Layer 2, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.3515, Rec:0.4595
Layer 3, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.7267, Rec:0.4595
Layer 4, Acc:0.4444444477558136, F:0.2704, Pr:0.4414, Auc:0.7268, Rec:0.4414
Layer 5, Acc:0.5333333611488342, F:0.3794, Pr:0.5225, Auc:0.7281, Rec:0.5225
Layer 6, Acc:0.5333333611488342, F:0.3794, Pr:0.5225, Auc:0.7268, Rec:0.5225
Layer 7, Acc:0.5333333611488342, F:0.3794, Pr:0.5225, Auc:0.7298, Rec:0.5225
Layer 8, Acc:0.4555555582046509, F:0.2893, Pr:0.4595, Auc:0.6914, Rec:0.4595
Layer 5, max_Acc:53.333336, F:0.3794, Pr:0.5225, Auc:0.7281, Rec:0.5225
hd:8, dp:0.7, wd:0.05, layer 1 
epoch 1 | train ACC 33.3333 % | test ACC 33.3333 % | train loss 0.0126
epoch 11 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0101
epoch 21 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.01
epoch 31 | train ACC 42.8571 % | test ACC 46.6667 % | train loss 0.0099
epoch 41 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 51 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 61 | train ACC 52.381 % | test ACC 45.5556 % | train loss 0.0099
epoch 71 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 91 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 101 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 111 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 121 | train ACC 47.619 % | test ACC 47.7778 % | train loss 0.0099
epoch 131 | train ACC 52.381 % | test ACC 45.5556 % | train loss 0.0099
epoch 141 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 151 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 161 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 171 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 181 | train ACC 52.381 % | test ACC 44.4444 % | train loss 0.0099
epoch 191 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
1layers, Final test  ACC: 45.5556 %
hd:8, dp:0.7, wd:0.05, layer 2 
epoch 1 | train ACC 23.8095 % | test ACC 12.2222 % | train loss 0.0171
epoch 11 | train ACC 28.5714 % | test ACC 35.5556 % | train loss 0.0105
epoch 21 | train ACC 33.3333 % | test ACC 31.1111 % | train loss 0.0102
epoch 31 | train ACC 47.619 % | test ACC 40.0 % | train loss 0.01
epoch 41 | train ACC 42.8571 % | test ACC 43.3333 % | train loss 0.0099
epoch 51 | train ACC 52.381 % | test ACC 41.1111 % | train loss 0.0099
epoch 61 | train ACC 42.8571 % | test ACC 43.3333 % | train loss 0.0099
epoch 71 | train ACC 52.381 % | test ACC 40.0 % | train loss 0.0099
epoch 81 | train ACC 38.0952 % | test ACC 37.7778 % | train loss 0.0099
epoch 91 | train ACC 38.0952 % | test ACC 44.4444 % | train loss 0.0099
epoch 101 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.0099
epoch 111 | train ACC 52.381 % | test ACC 46.6667 % | train loss 0.0099
epoch 121 | train ACC 28.5714 % | test ACC 43.3333 % | train loss 0.0099
epoch 131 | train ACC 47.6191 % | test ACC 33.3333 % | train loss 0.0099
epoch 141 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.0099
epoch 151 | train ACC 42.8571 % | test ACC 43.3333 % | train loss 0.0099
epoch 161 | train ACC 42.8571 % | test ACC 51.1111 % | train loss 0.0099
epoch 171 | train ACC 38.0952 % | test ACC 45.5556 % | train loss 0.01
epoch 181 | train ACC 61.9048 % | test ACC 46.6667 % | train loss 0.0099
epoch 191 | train ACC 52.381 % | test ACC 45.5556 % | train loss 0.0099
2layers, Final test  ACC: 45.5556 %
hd:8, dp:0.7, wd:0.05, layer 3 
epoch 1 | train ACC 14.2857 % | test ACC 15.5556 % | train loss 0.0171
epoch 11 | train ACC 33.3333 % | test ACC 30.0 % | train loss 0.0106
epoch 21 | train ACC 28.5714 % | test ACC 43.3333 % | train loss 0.0102
epoch 31 | train ACC 52.381 % | test ACC 32.2222 % | train loss 0.01
epoch 41 | train ACC 47.619 % | test ACC 42.2222 % | train loss 0.0099
epoch 51 | train ACC 47.619 % | test ACC 43.3333 % | train loss 0.0099
epoch 61 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 71 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0098
epoch 91 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0096
epoch 101 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0098
epoch 111 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0093
epoch 121 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0098
epoch 131 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.01
epoch 141 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0096
epoch 151 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0093
epoch 161 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0095
epoch 171 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0103
epoch 181 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0095
epoch 191 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0101
3layers, Final test  ACC: 45.5556 %
hd:8, dp:0.7, wd:0.05, layer 4 
epoch 1 | train ACC 47.619 % | test ACC 41.1111 % | train loss 0.0171
epoch 11 | train ACC 28.5714 % | test ACC 35.5556 % | train loss 0.0105
epoch 21 | train ACC 42.8571 % | test ACC 41.1111 % | train loss 0.0102
epoch 31 | train ACC 57.1429 % | test ACC 50.0 % | train loss 0.01
epoch 41 | train ACC 47.619 % | test ACC 48.8889 % | train loss 0.0099
epoch 51 | train ACC 52.381 % | test ACC 40.0 % | train loss 0.0099
epoch 61 | train ACC 47.619 % | test ACC 55.5556 % | train loss 0.0097
epoch 71 | train ACC 33.3333 % | test ACC 50.0 % | train loss 0.0099
epoch 81 | train ACC 38.0952 % | test ACC 54.4444 % | train loss 0.0095
epoch 91 | train ACC 52.381 % | test ACC 48.8889 % | train loss 0.0093
epoch 101 | train ACC 38.0952 % | test ACC 42.2222 % | train loss 0.0095
epoch 111 | train ACC 57.1429 % | test ACC 42.2222 % | train loss 0.0104
epoch 121 | train ACC 52.381 % | test ACC 52.2222 % | train loss 0.0096
epoch 131 | train ACC 47.619 % | test ACC 41.1111 % | train loss 0.0093
epoch 141 | train ACC 52.381 % | test ACC 40.0 % | train loss 0.0095
epoch 151 | train ACC 52.381 % | test ACC 46.6667 % | train loss 0.0105
epoch 161 | train ACC 52.381 % | test ACC 42.2222 % | train loss 0.0098
epoch 171 | train ACC 47.6191 % | test ACC 37.7778 % | train loss 0.0102
epoch 181 | train ACC 42.8571 % | test ACC 43.3333 % | train loss 0.0095
epoch 191 | train ACC 57.1429 % | test ACC 36.6667 % | train loss 0.0094
4layers, Final test  ACC: 45.5556 %
hd:8, dp:0.7, wd:0.05, layer 5 
epoch 1 | train ACC 57.1429 % | test ACC 26.6667 % | train loss 0.0171
epoch 11 | train ACC 47.619 % | test ACC 46.6667 % | train loss 0.0105
epoch 21 | train ACC 42.8571 % | test ACC 48.8889 % | train loss 0.0102
epoch 31 | train ACC 42.8571 % | test ACC 44.4444 % | train loss 0.01
epoch 41 | train ACC 42.8571 % | test ACC 54.4444 % | train loss 0.0102
epoch 51 | train ACC 66.6667 % | test ACC 53.3333 % | train loss 0.0093
epoch 61 | train ACC 47.619 % | test ACC 46.6667 % | train loss 0.01
